Nitrogen,Phosphorous,Potassium,Temperature,Humidity,Moisture,Soil Type,Crop Type,Fertilizer Name
117,79,10,35.5,14.2,56.5,Sandy,Pulses,14-35-14
89,109,191,43.4,54.2,53.7,Clayey,Paddy,10-26-26
11,144,47,30.2,62.4,25.7,Clayey,Tobacco,28-28
60,57,181,19.9,35.4,27.1,Loamy,Paddy,DAP
58,78,85,27.7,14.4,25.7,Sandy,Cotton,14-35-14
92,95,31,22.6,92.2,15.1,Sandy,Wheat,28-28
80,113,183,15.7,49.4,26.6,Loamy,Barley,28-28
36,36,130,42.4,82.6,56.1,Black,Paddy,10-26-26
47,16,167,18.9,42.2,20.5,Loamy,Sugarcane,DAP
139,107,190,32.9,66.0,34.0,Loamy,Ground Nuts,14-35-14
121,77,202,17.1,64.6,36.0,Red,Oil seeds,14-35-14
94,16,136,33.3,29.4,21.3,Black,Pulses,DAP
133,113,138,18.8,91.7,43.6,Black,Wheat,28-28
19,49,163,17.1,30.3,48.6,Loamy,Paddy,28-28
124,53,129,21.2,15.7,34.0,Black,Pulses,14-35-14
0,43,149,20.4,43.0,30.9,Clayey,Barley,DAP
122,81,153,15.9,66.0,29.8,Loamy,Cotton,10-26-26
54,88,57,40.7,56.6,16.5,Black,Wheat,28-28
109,93,116,39.8,24.8,55.2,Sandy,Millets,20-20
108,3,71,20.1,42.8,40.4,Clayey,Wheat,DAP
47,116,160,37.6,83.8,11.6,Black,Pulses,14-35-14
107,52,141,43.9,85.7,34.5,Loamy,Wheat,28-28
127,69,146,23.5,59.7,12.6,Red,Maize,10-26-26
23,143,179,15.3,67.9,45.2,Sandy,Oil seeds,14-35-14
91,80,141,28.5,19.4,33.8,Sandy,Barley,28-28
98,97,41,23.3,57.0,18.0,Loamy,Oil seeds,14-35-14
76,44,114,17.0,85.4,38.1,Loamy,Cotton,20-20
134,108,133,44.1,78.2,18.8,Red,Oil seeds,14-35-14
101,47,190,26.0,41.3,52.5,Red,Ground Nuts,14-35-14
133,134,36,22.2,57.8,29.0,Clayey,Pulses,14-35-14
43,46,34,28.6,25.5,12.4,Red,Maize,17-17-17
130,141,95,42.2,50.0,49.2,Black,Millets,Urea
76,0,204,21.0,64.5,13.2,Clayey,Ground Nuts,DAP
130,127,61,37.4,18.6,37.1,Red,Millets,Urea
79,81,134,41.9,68.7,46.5,Sandy,Maize,10-26-26
57,87,96,21.1,77.9,44.3,Sandy,Oil seeds,14-35-14
13,52,126,30.6,39.4,10.8,Sandy,Millets,Urea
44,92,21,34.5,70.2,57.8,Red,Sugarcane,20-20
12,90,171,19.1,79.7,10.9,Red,Oil seeds,14-35-14
115,60,167,43.2,88.6,24.4,Red,Pulses,14-35-14
87,20,160,20.1,41.2,31.2,Red,Sugarcane,DAP
122,5,156,18.5,45.0,58.4,Loamy,Barley,DAP
50,138,183,40.7,18.2,17.4,Clayey,Maize,10-26-26
81,98,147,25.7,28.0,34.5,Clayey,Oil seeds,14-35-14
36,133,198,31.1,15.9,32.2,Clayey,Wheat,28-28
24,142,162,31.7,81.7,37.1,Clayey,Tobacco,10-26-26
83,33,75,34.9,84.3,16.4,Clayey,Tobacco,DAP
6,35,37,39.5,83.0,52.3,Black,Millets,Urea
20,14,13,44.8,62.4,27.8,Sandy,Ground Nuts,Urea
92,104,52,27.6,97.0,44.2,Black,Tobacco,28-28
134,116,169,29.6,41.1,20.1,Black,Ground Nuts,14-35-14
1,42,81,34.8,39.3,20.8,Red,Oil seeds,14-35-14
130,72,99,21.6,53.9,33.5,Black,Sugarcane,20-20
104,104,68,31.1,40.6,17.3,Loamy,Wheat,28-28
87,44,186,15.3,93.8,13.3,Red,Barley,DAP
130,25,180,36.4,88.1,17.7,Sandy,Maize,DAP
104,73,147,26.1,42.3,31.2,Black,Oil seeds,14-35-14
71,139,153,17.9,15.3,18.1,Loamy,Sugarcane,20-20
106,2,114,34.1,85.7,50.0,Red,Maize,DAP
18,110,21,41.8,60.7,58.9,Red,Oil seeds,14-35-14
127,82,137,30.1,90.3,27.9,Black,Cotton,17-17-17
12,97,119,28.2,21.8,45.9,Red,Paddy,28-28
43,114,185,21.8,64.2,28.6,Black,Paddy,17-17-17
9,108,193,28.0,49.4,11.8,Loamy,Tobacco,17-17-17
7,9,194,36.2,29.3,22.6,Black,Tobacco,Urea
25,9,174,29.9,32.4,13.0,Red,Cotton,Urea
80,86,19,45.0,98.9,54.1,Black,Pulses,14-35-14
27,3,21,17.6,33.2,19.4,Loamy,Maize,Urea
139,129,155,30.6,66.1,58.1,Sandy,Pulses,14-35-14
75,91,9,33.8,81.5,42.4,Red,Millets,20-20
100,107,59,36.5,85.6,47.1,Black,Ground Nuts,14-35-14
43,111,88,39.7,72.7,45.0,Sandy,Cotton,14-35-14
11,50,120,35.0,32.4,42.9,Red,Maize,10-26-26
90,73,199,28.6,47.2,59.1,Clayey,Ground Nuts,14-35-14
42,7,12,32.7,65.5,30.9,Sandy,Sugarcane,DAP
114,63,51,37.8,55.3,56.6,Clayey,Sugarcane,20-20
77,27,53,40.6,33.8,26.4,Loamy,Cotton,DAP
91,120,115,19.9,83.2,49.6,Clayey,Oil seeds,14-35-14
46,58,53,16.1,60.0,45.2,Sandy,Paddy,DAP
13,105,51,24.6,28.1,31.8,Sandy,Paddy,10-26-26
105,52,95,25.2,97.0,35.5,Clayey,Millets,Urea
111,119,193,30.0,55.6,17.9,Red,Tobacco,10-26-26
5,107,102,44.8,73.1,52.1,Red,Cotton,14-35-14
39,33,123,35.0,66.1,14.4,Clayey,Barley,DAP
43,19,110,25.7,63.6,27.1,Sandy,Maize,DAP
79,31,44,31.0,86.4,39.2,Loamy,Millets,DAP
26,61,17,43.3,17.6,35.2,Red,Cotton,14-35-14
48,115,140,40.6,34.8,53.8,Clayey,Paddy,28-28
18,17,120,34.6,19.3,36.3,Clayey,Sugarcane,Urea
8,87,171,28.2,99.5,31.0,Sandy,Wheat,28-28
25,45,117,39.7,76.2,51.6,Black,Oil seeds,14-35-14
27,124,156,25.5,92.9,16.7,Black,Millets,Urea
58,58,46,26.2,32.4,39.3,Black,Paddy,17-17-17
78,15,43,35.7,76.3,44.9,Sandy,Maize,DAP
94,55,31,23.9,65.5,35.1,Red,Tobacco,20-20
54,75,184,19.7,43.1,11.0,Clayey,Maize,10-26-26
47,122,77,34.1,68.1,37.7,Black,Sugarcane,DAP
54,103,183,41.2,32.5,14.2,Loamy,Sugarcane,10-26-26
60,11,12,32.1,59.3,11.9,Sandy,Maize,DAP
15,86,141,19.9,24.6,59.0,Sandy,Paddy,10-26-26
133,62,37,33.3,69.3,14.4,Loamy,Tobacco,17-17-17
33,56,173,42.9,40.1,53.2,Sandy,Millets,20-20
61,92,86,15.2,62.6,27.0,Red,Pulses,14-35-14
85,132,191,33.3,87.4,23.2,Loamy,Tobacco,17-17-17
106,88,124,39.1,59.7,19.3,Sandy,Ground Nuts,14-35-14
86,67,14,23.2,20.8,31.5,Black,Barley,28-28
99,76,134,26.2,36.6,48.0,Red,Oil seeds,14-35-14
10,30,11,35.9,46.3,57.1,Loamy,Millets,Urea
16,128,156,21.1,43.3,33.8,Clayey,Sugarcane,10-26-26
108,16,167,18.2,94.1,55.7,Clayey,Paddy,DAP
33,69,16,31.0,48.6,18.1,Sandy,Maize,28-28
101,119,205,28.7,70.7,55.7,Sandy,Paddy,10-26-26
5,96,93,16.2,70.7,23.6,Black,Ground Nuts,14-35-14
86,67,83,18.0,89.0,35.4,Red,Cotton,14-35-14
25,18,8,15.7,58.8,29.6,Clayey,Millets,Urea
140,139,9,44.5,25.9,31.5,Sandy,Barley,28-28
8,53,25,30.5,51.2,59.6,Loamy,Sugarcane,DAP
53,118,142,43.5,87.9,21.4,Black,Wheat,28-28
38,142,52,39.4,77.8,46.8,Black,Wheat,28-28
140,107,46,25.9,87.8,23.3,Loamy,Millets,Urea
63,33,175,30.7,17.9,56.7,Black,Ground Nuts,DAP
113,46,57,37.0,67.8,52.7,Clayey,Wheat,DAP
127,123,145,18.1,65.7,53.7,Clayey,Cotton,10-26-26
115,56,127,43.1,46.5,38.8,Sandy,Paddy,28-28
69,1,151,19.3,83.8,21.1,Loamy,Cotton,DAP
92,11,102,22.2,17.6,41.2,Loamy,Wheat,DAP
135,54,107,22.5,48.2,31.4,Red,Millets,20-20
10,137,111,33.0,75.0,57.5,Clayey,Maize,10-26-26
132,51,137,38.3,61.5,43.0,Red,Maize,10-26-26
26,145,103,27.1,31.1,58.1,Clayey,Sugarcane,DAP
94,104,124,40.0,81.5,19.3,Black,Paddy,10-26-26
67,74,124,43.0,66.0,43.0,Sandy,Tobacco,17-17-17
18,39,16,43.8,84.6,52.7,Sandy,Sugarcane,Urea
108,52,134,28.2,16.6,48.5,Sandy,Ground Nuts,14-35-14
19,2,164,22.0,82.6,38.2,Clayey,Maize,Urea
72,104,117,20.4,71.8,33.0,Sandy,Cotton,14-35-14
12,68,168,43.6,84.0,55.2,Black,Millets,Urea
27,120,125,21.2,85.2,36.9,Loamy,Tobacco,17-17-17
73,94,142,28.3,65.5,33.8,Sandy,Cotton,14-35-14
109,113,66,35.6,82.1,39.2,Sandy,Cotton,14-35-14
140,127,98,33.9,65.3,25.9,Loamy,Paddy,14-35-14
98,32,204,23.0,91.4,56.4,Clayey,Cotton,DAP
40,105,2,18.7,93.8,32.7,Red,Ground Nuts,14-35-14
133,19,138,25.2,24.9,30.7,Black,Pulses,DAP
85,34,46,36.1,56.4,55.7,Clayey,Sugarcane,DAP
13,90,59,34.0,35.4,25.2,Clayey,Paddy,10-26-26
37,82,26,38.2,25.2,32.7,Loamy,Cotton,10-26-26
9,119,144,16.3,39.5,24.0,Black,Ground Nuts,14-35-14
71,68,134,34.9,46.8,46.0,Loamy,Pulses,14-35-14
47,16,110,44.9,90.8,35.7,Red,Oil seeds,DAP
47,9,35,34.3,66.4,33.4,Sandy,Paddy,DAP
140,20,78,35.1,68.2,10.9,Loamy,Tobacco,DAP
35,26,71,16.9,29.4,48.3,Red,Cotton,14-35-14
21,16,6,25.5,36.8,27.5,Red,Sugarcane,Urea
41,62,80,43.4,44.6,22.5,Sandy,Ground Nuts,14-35-14
4,81,130,20.5,95.0,47.8,Loamy,Ground Nuts,14-35-14
110,46,111,42.2,59.6,16.9,Loamy,Wheat,DAP
95,116,69,24.3,53.6,43.7,Clayey,Paddy,17-17-17
136,130,175,45.0,78.7,53.2,Sandy,Ground Nuts,14-35-14
111,103,126,39.7,39.4,45.3,Black,Paddy,17-17-17
7,41,154,18.4,61.0,45.5,Red,Ground Nuts,14-35-14
59,110,65,39.2,82.1,39.1,Red,Millets,20-20
110,103,76,38.3,56.4,38.2,Loamy,Millets,Urea
99,62,48,20.3,98.8,45.8,Loamy,Ground Nuts,14-35-14
70,6,199,39.4,71.2,27.0,Loamy,Wheat,DAP
100,94,86,17.8,68.5,24.3,Clayey,Paddy,20-20
3,87,150,15.7,73.1,24.7,Sandy,Ground Nuts,14-35-14
93,125,112,31.0,31.1,35.4,Loamy,Maize,10-26-26
19,112,48,18.3,54.2,13.5,Sandy,Oil seeds,14-35-14
15,93,101,40.0,14.7,20.7,Loamy,Cotton,DAP
24,59,58,33.7,62.0,13.0,Clayey,Maize,28-28
56,53,111,23.9,76.4,21.5,Loamy,Paddy,20-20
77,22,125,29.3,17.8,58.5,Loamy,Barley,DAP
13,120,35,41.6,38.3,31.9,Loamy,Pulses,14-35-14
59,9,152,39.8,40.2,59.5,Red,Millets,DAP
35,131,67,28.7,36.2,45.8,Loamy,Sugarcane,17-17-17
22,15,21,36.8,24.4,18.4,Clayey,Tobacco,Urea
132,6,50,17.3,46.1,44.4,Black,Barley,DAP
9,72,204,37.6,23.1,14.1,Red,Cotton,14-35-14
15,52,39,34.1,39.5,45.5,Red,Wheat,28-28
38,101,129,17.2,54.0,40.8,Red,Barley,28-28
53,109,11,31.4,95.7,19.0,Loamy,Ground Nuts,14-35-14
101,100,43,31.3,59.8,13.8,Sandy,Sugarcane,20-20
83,9,28,36.6,59.5,29.8,Sandy,Maize,DAP
46,102,191,35.2,20.4,33.0,Clayey,Pulses,14-35-14
56,56,33,17.3,94.3,28.2,Clayey,Sugarcane,14-35-14
114,74,72,35.1,65.8,13.6,Sandy,Ground Nuts,14-35-14
118,132,118,16.0,54.4,57.7,Red,Cotton,14-35-14
29,125,65,22.5,69.3,23.8,Black,Maize,28-28
84,57,78,40.2,64.1,22.4,Clayey,Pulses,14-35-14
32,99,167,29.7,40.8,53.6,Red,Ground Nuts,14-35-14
64,15,149,36.4,27.6,22.6,Loamy,Wheat,DAP
61,84,133,25.1,15.2,17.7,Loamy,Cotton,DAP
87,26,67,25.7,82.0,35.5,Red,Barley,DAP
80,101,109,42.4,19.5,12.8,Loamy,Millets,Urea
38,23,124,21.8,56.2,27.9,Red,Oil seeds,DAP
50,51,121,19.6,87.9,33.4,Red,Sugarcane,17-17-17
26,80,100,35.6,94.7,46.1,Black,Wheat,28-28
20,93,174,29.1,92.9,29.4,Red,Wheat,28-28
80,122,67,26.6,27.6,44.8,Black,Cotton,10-26-26
44,86,201,21.0,94.5,10.9,Black,Sugarcane,10-26-26
23,87,16,35.0,22.0,35.4,Loamy,Cotton,DAP
112,28,6,24.5,59.7,35.6,Black,Paddy,DAP
23,38,194,39.5,62.2,22.8,Clayey,Pulses,Urea
43,90,160,36.2,81.3,32.8,Black,Ground Nuts,14-35-14
25,20,119,19.2,58.1,39.4,Clayey,Cotton,Urea
94,22,140,15.7,40.9,51.0,Loamy,Tobacco,DAP
130,128,89,23.2,23.4,43.0,Loamy,Cotton,10-26-26
2,39,195,37.3,59.8,50.5,Clayey,Sugarcane,Urea
115,51,119,39.0,43.8,18.6,Clayey,Maize,10-26-26
60,17,85,40.8,36.2,21.3,Loamy,Maize,DAP
5,84,50,23.2,28.6,45.9,Clayey,Sugarcane,20-20
4,109,196,44.0,84.6,20.2,Loamy,Pulses,14-35-14
99,11,74,37.4,54.4,49.1,Red,Barley,DAP
17,79,170,15.6,40.8,41.9,Black,Barley,28-28
79,41,63,38.8,40.4,11.8,Red,Millets,20-20
131,129,121,38.1,33.1,23.5,Loamy,Paddy,DAP
15,8,180,42.8,26.6,58.5,Sandy,Maize,Urea
74,10,7,34.0,79.4,59.3,Loamy,Oil seeds,DAP
112,106,33,20.3,50.2,49.7,Loamy,Cotton,10-26-26
122,99,164,26.8,73.8,56.9,Red,Sugarcane,20-20
104,116,26,16.0,14.1,13.9,Red,Sugarcane,20-20
65,31,44,29.6,75.2,53.4,Clayey,Tobacco,DAP
62,64,77,38.3,97.5,33.3,Clayey,Oil seeds,14-35-14
24,134,140,44.6,59.9,15.7,Red,Oil seeds,14-35-14
127,105,164,35.9,65.3,33.0,Black,Sugarcane,20-20
78,95,92,37.5,72.4,19.9,Loamy,Tobacco,17-17-17
115,17,185,31.1,80.3,43.1,Clayey,Cotton,DAP
4,105,21,18.6,15.3,54.5,Red,Millets,Urea
78,105,62,18.5,49.0,52.4,Black,Barley,28-28
70,85,153,16.7,63.4,53.2,Black,Wheat,28-28
129,126,108,19.6,48.4,28.3,Clayey,Barley,28-28
125,102,36,27.8,31.0,55.5,Red,Oil seeds,14-35-14
91,17,56,22.9,32.0,40.0,Black,Millets,DAP
32,87,193,32.2,84.7,38.1,Sandy,Wheat,28-28
39,79,140,41.7,83.1,19.2,Clayey,Barley,28-28
139,77,183,39.4,75.8,46.5,Clayey,Wheat,28-28
136,25,27,40.9,77.9,30.7,Clayey,Pulses,DAP
121,31,194,40.3,14.0,18.4,Red,Cotton,DAP
77,21,107,21.4,16.5,31.7,Sandy,Tobacco,DAP
96,90,15,28.4,100.0,51.8,Sandy,Paddy,10-26-26
102,127,150,43.6,47.2,49.3,Red,Tobacco,10-26-26
79,38,44,35.3,31.1,14.0,Clayey,Oil seeds,14-35-14
12,78,55,24.9,37.2,35.6,Red,Millets,Urea
46,25,83,38.9,52.1,25.9,Black,Pulses,DAP
40,51,81,32.1,55.6,37.5,Clayey,Pulses,14-35-14
116,113,193,37.5,25.7,13.3,Red,Barley,28-28
129,14,104,28.3,30.0,34.3,Black,Ground Nuts,DAP
23,83,166,24.4,92.2,53.5,Black,Paddy,17-17-17
93,144,41,29.6,91.9,51.8,Sandy,Wheat,28-28
49,56,188,21.5,46.1,26.6,Sandy,Millets,Urea
82,72,101,34.3,79.6,48.0,Black,Ground Nuts,14-35-14
45,10,30,15.4,14.6,22.0,Red,Ground Nuts,DAP
135,7,187,15.2,77.3,17.6,Loamy,Paddy,DAP
86,63,1,41.9,70.7,27.2,Clayey,Oil seeds,14-35-14
96,29,7,30.6,99.4,10.6,Clayey,Ground Nuts,DAP
45,124,162,15.8,69.3,54.6,Black,Pulses,14-35-14
132,54,19,30.7,55.0,32.4,Black,Tobacco,20-20
132,88,145,16.1,64.2,21.5,Black,Sugarcane,20-20
12,19,65,42.0,84.4,59.5,Red,Barley,Urea
85,26,6,16.7,98.2,39.4,Red,Pulses,DAP
23,14,94,16.0,66.7,45.8,Red,Oil seeds,Urea
114,39,38,19.8,46.0,52.4,Red,Sugarcane,20-20
73,16,48,23.1,59.8,40.3,Sandy,Tobacco,DAP
56,85,179,31.2,72.1,41.7,Clayey,Millets,Urea
120,77,65,20.2,22.8,40.6,Black,Cotton,17-17-17
26,1,96,35.5,69.3,10.8,Red,Millets,Urea
55,27,63,44.8,34.0,41.2,Loamy,Millets,DAP
3,87,83,35.4,19.6,25.4,Sandy,Tobacco,17-17-17
140,92,19,38.4,81.4,36.0,Clayey,Barley,28-28
20,17,38,22.2,38.1,12.7,Red,Oil seeds,Urea
117,143,34,42.0,85.7,37.7,Red,Millets,Urea
126,51,78,25.3,56.8,32.9,Black,Cotton,DAP
93,14,177,35.7,54.4,32.0,Sandy,Cotton,DAP
38,107,16,26.3,69.0,34.7,Black,Sugarcane,14-35-14
104,12,145,15.6,58.7,44.0,Sandy,Tobacco,DAP
42,84,154,21.0,34.1,36.1,Clayey,Tobacco,10-26-26
50,105,111,19.8,31.6,49.4,Red,Cotton,14-35-14
48,46,71,41.9,90.6,58.8,Clayey,Wheat,DAP
83,28,113,23.7,38.3,21.9,Clayey,Barley,DAP
28,1,112,38.7,30.7,23.1,Clayey,Millets,Urea
36,71,26,34.4,52.8,58.4,Clayey,Tobacco,28-28
119,64,24,23.2,61.0,20.7,Clayey,Cotton,28-28
5,8,201,38.6,98.6,11.0,Red,Ground Nuts,Urea
23,43,105,42.7,71.3,21.8,Clayey,Sugarcane,20-20
80,99,12,35.4,71.5,57.1,Black,Barley,28-28
98,100,104,16.6,45.0,50.7,Red,Barley,28-28
82,132,104,42.7,55.3,41.2,Loamy,Ground Nuts,14-35-14
0,91,57,26.2,93.6,51.4,Clayey,Pulses,14-35-14
71,68,5,18.0,67.2,17.2,Sandy,Maize,28-28
76,11,193,39.6,81.3,37.2,Black,Ground Nuts,DAP
23,29,197,17.3,75.4,10.2,Black,Barley,Urea
94,12,89,27.5,39.6,55.6,Red,Cotton,DAP
39,106,23,29.3,33.2,45.3,Clayey,Maize,28-28
53,52,48,22.6,50.3,49.3,Clayey,Wheat,28-28
89,120,148,23.7,66.8,27.7,Loamy,Wheat,28-28
110,107,110,42.5,99.9,49.0,Black,Sugarcane,20-20
93,40,93,28.7,85.3,58.8,Loamy,Wheat,DAP
71,13,30,29.6,63.7,44.5,Loamy,Millets,DAP
24,130,68,38.6,46.4,15.0,Sandy,Ground Nuts,14-35-14
34,77,37,28.4,43.8,26.9,Black,Tobacco,28-28
96,5,168,20.5,25.3,39.6,Red,Paddy,DAP
131,114,139,16.5,87.5,42.9,Loamy,Cotton,20-20
20,14,162,39.8,26.3,25.5,Black,Oil seeds,Urea
116,145,148,31.4,18.4,47.3,Clayey,Wheat,28-28
23,37,43,33.3,48.3,42.3,Sandy,Oil seeds,Urea
22,123,85,16.3,29.2,53.2,Loamy,Ground Nuts,14-35-14
108,67,23,20.8,61.6,29.1,Red,Wheat,28-28
90,133,162,23.2,55.3,47.3,Red,Wheat,28-28
37,42,102,18.1,86.0,17.6,Sandy,Paddy,17-17-17
119,25,170,19.3,84.8,56.6,Black,Oil seeds,DAP
55,135,93,36.5,47.9,43.9,Loamy,Ground Nuts,14-35-14
85,145,11,43.6,85.8,55.1,Sandy,Oil seeds,14-35-14
76,53,156,32.4,28.5,31.2,Loamy,Pulses,14-35-14
72,71,166,30.6,73.9,57.1,Clayey,Paddy,Urea
33,49,174,40.2,72.7,20.4,Black,Wheat,DAP
89,80,117,16.5,55.9,27.8,Black,Barley,28-28
6,68,93,33.2,22.9,51.8,Sandy,Cotton,14-35-14
17,41,50,15.3,34.3,16.9,Clayey,Pulses,14-35-14
97,22,58,38.7,32.5,13.3,Loamy,Ground Nuts,DAP
72,54,116,36.4,37.5,16.1,Red,Oil seeds,14-35-14
62,72,78,34.4,56.5,41.0,Sandy,Pulses,14-35-14
25,27,39,33.0,99.3,14.5,Red,Barley,Urea
98,130,189,17.1,90.7,11.5,Loamy,Paddy,10-26-26
37,103,142,26.9,40.0,49.8,Red,Paddy,10-26-26
118,59,165,39.8,19.7,18.5,Sandy,Paddy,Urea
2,22,136,23.9,27.7,31.8,Loamy,Maize,Urea
61,86,166,17.2,46.5,45.5,Black,Tobacco,10-26-26
95,94,185,43.2,58.8,59.9,Red,Maize,10-26-26
78,127,21,32.7,68.2,52.3,Sandy,Tobacco,20-20
20,55,45,28.5,70.1,52.8,Red,Sugarcane,20-20
70,7,200,15.3,72.3,33.9,Sandy,Tobacco,DAP
37,98,123,41.3,55.4,38.2,Clayey,Maize,10-26-26
133,12,186,25.0,29.8,44.0,Black,Paddy,DAP
71,136,125,25.1,42.0,56.2,Red,Pulses,14-35-14
94,77,53,37.4,88.7,36.8,Clayey,Ground Nuts,14-35-14
136,100,36,26.7,58.0,56.5,Black,Cotton,28-28
88,77,166,18.3,63.3,11.2,Loamy,Tobacco,17-17-17
16,85,117,21.2,59.1,37.8,Loamy,Wheat,28-28
1,127,91,35.8,94.2,45.9,Clayey,Paddy,28-28
49,0,199,22.7,59.5,24.5,Sandy,Ground Nuts,DAP
75,88,177,44.5,47.8,28.1,Sandy,Barley,28-28
6,100,110,43.0,51.2,36.9,Sandy,Pulses,14-35-14
89,121,9,36.9,58.1,45.6,Clayey,Pulses,14-35-14
70,117,8,27.4,53.7,22.8,Sandy,Ground Nuts,14-35-14
80,83,198,15.4,80.4,53.8,Clayey,Millets,Urea
58,140,102,19.3,93.5,15.2,Sandy,Wheat,28-28
59,59,105,18.8,33.3,50.6,Sandy,Sugarcane,17-17-17
54,109,3,20.5,52.1,18.3,Red,Paddy,10-26-26
102,109,161,36.8,22.1,43.0,Black,Paddy,17-17-17
88,55,77,25.6,95.7,38.9,Loamy,Oil seeds,14-35-14
105,19,73,23.0,87.2,18.3,Loamy,Sugarcane,DAP
126,32,195,31.6,16.2,40.2,Sandy,Ground Nuts,DAP
113,88,184,21.3,80.7,34.3,Black,Wheat,28-28
12,83,96,21.9,59.3,32.6,Sandy,Cotton,14-35-14
102,111,168,30.5,36.5,46.1,Red,Cotton,14-35-14
29,25,180,23.5,56.9,12.3,Loamy,Pulses,Urea
104,103,191,21.8,82.4,41.5,Clayey,Millets,Urea
129,58,117,38.1,14.2,54.4,Loamy,Oil seeds,14-35-14
15,19,76,28.3,56.5,25.6,Clayey,Barley,Urea
41,72,83,41.9,88.2,35.5,Sandy,Cotton,14-35-14
63,68,167,18.9,28.9,27.0,Clayey,Oil seeds,14-35-14
45,4,112,34.3,49.3,36.3,Red,Barley,DAP
97,30,11,20.0,39.9,37.0,Loamy,Ground Nuts,DAP
138,24,34,22.7,35.9,57.4,Clayey,Tobacco,DAP
116,19,105,29.8,18.7,57.7,Clayey,Cotton,DAP
79,101,24,15.8,93.5,52.6,Sandy,Pulses,14-35-14
13,126,148,16.8,96.7,37.4,Black,Paddy,10-26-26
14,71,161,27.1,82.7,36.1,Clayey,Oil seeds,14-35-14
79,6,134,41.7,94.7,12.7,Red,Paddy,DAP
40,13,132,18.1,52.6,24.4,Clayey,Sugarcane,DAP
117,95,35,39.4,66.1,57.5,Sandy,Paddy,Urea
77,55,79,29.2,76.5,60.0,Sandy,Oil seeds,14-35-14
9,68,84,22.4,85.7,30.3,Red,Wheat,28-28
17,92,179,27.2,32.1,39.6,Clayey,Tobacco,10-26-26
119,67,65,36.9,36.1,18.8,Black,Cotton,DAP
32,104,73,21.5,25.0,25.6,Red,Cotton,14-35-14
41,115,3,33.3,49.4,33.7,Sandy,Millets,Urea
74,74,12,34.5,31.4,54.5,Clayey,Paddy,DAP
81,9,198,17.4,69.3,33.3,Red,Cotton,DAP
30,76,147,21.4,85.8,31.0,Loamy,Sugarcane,20-20
99,54,194,21.3,80.7,31.7,Black,Cotton,10-26-26
133,105,35,15.6,67.5,43.1,Clayey,Sugarcane,20-20
74,129,194,39.8,44.2,55.3,Loamy,Ground Nuts,14-35-14
30,91,189,38.1,33.2,14.0,Black,Ground Nuts,14-35-14
91,128,186,19.9,49.1,51.6,Black,Ground Nuts,14-35-14
76,132,19,41.9,93.6,28.9,Loamy,Sugarcane,20-20
27,73,80,43.4,35.2,43.4,Loamy,Pulses,14-35-14
122,51,163,28.7,63.0,44.6,Loamy,Pulses,14-35-14
63,75,60,27.0,73.3,55.3,Clayey,Oil seeds,14-35-14
68,69,4,17.1,73.3,18.7,Loamy,Ground Nuts,14-35-14
6,71,114,36.0,36.1,38.2,Sandy,Oil seeds,14-35-14
91,80,146,24.4,18.5,57.4,Sandy,Cotton,14-35-14
61,130,145,25.7,58.1,43.8,Black,Ground Nuts,14-35-14
78,9,148,42.7,71.7,56.6,Sandy,Sugarcane,DAP
46,49,131,42.2,55.7,33.0,Clayey,Pulses,14-35-14
78,56,96,39.9,15.3,23.6,Red,Sugarcane,20-20
108,25,171,17.6,22.1,23.4,Black,Wheat,DAP
51,62,188,36.4,45.7,45.7,Red,Tobacco,28-28
117,78,159,20.0,16.0,16.7,Sandy,Paddy,Urea
126,73,125,33.0,94.6,18.4,Loamy,Paddy,Urea
91,124,21,16.5,70.0,21.1,Sandy,Wheat,28-28
101,112,31,25.7,97.1,58.2,Clayey,Paddy,DAP
82,8,198,18.9,84.4,59.8,Loamy,Tobacco,DAP
35,116,2,31.8,52.7,42.3,Sandy,Millets,20-20
45,142,194,31.1,96.4,39.4,Red,Oil seeds,14-35-14
62,67,205,17.2,18.0,27.7,Black,Paddy,10-26-26
66,130,155,23.8,70.4,42.1,Clayey,Cotton,10-26-26
139,43,12,39.5,48.7,56.8,Sandy,Pulses,14-35-14
110,50,20,34.0,15.6,46.1,Red,Paddy,20-20
75,77,133,27.3,88.5,47.1,Sandy,Oil seeds,14-35-14
1,89,55,25.9,81.6,16.1,Red,Pulses,14-35-14
54,48,33,19.8,15.2,49.1,Clayey,Maize,28-28
15,19,42,26.0,49.7,51.6,Clayey,Oil seeds,Urea
44,86,14,42.1,15.0,34.9,Black,Paddy,17-17-17
50,111,185,40.3,75.7,57.2,Clayey,Maize,10-26-26
41,94,10,44.3,69.2,11.5,Loamy,Pulses,14-35-14
89,7,151,44.7,21.8,43.4,Sandy,Cotton,DAP
121,107,47,16.9,67.5,19.4,Sandy,Barley,28-28
4,23,174,30.4,67.4,51.0,Clayey,Tobacco,Urea
68,30,197,38.3,33.6,11.2,Loamy,Maize,DAP
139,19,81,34.8,17.8,51.8,Clayey,Barley,DAP
16,125,2,17.0,48.5,48.2,Sandy,Ground Nuts,14-35-14
54,101,28,34.1,47.9,24.9,Red,Barley,28-28
44,50,100,30.9,89.4,33.1,Clayey,Maize,28-28
61,132,136,20.1,50.6,19.4,Black,Cotton,17-17-17
116,45,197,32.9,97.5,59.2,Black,Barley,DAP
